Name_Surname,Integrity_Score,Integrity_Reason,Fraction_2019,Committee_Short,Incumbency,Party_Switcher,Region_Origin,From_Center,Gender_Male,Birth_Year,Education_Dummy,Career_Origin,List_Member,Status,Integrity_URL,is_System,is_Business,is_Civil Society,is_Media,is_Military,Career_Complexity,Career_Multi,Age_at_Election,Age_Squared,Political_Experience,Age_Outlier,Macro_Region,From_Occupied,is_Kyiv_Origin
Артур Герасимов,3,"In July 2023, the High Anti-Corruption Court (VAKS) found him guilty of failing to declare a villa in Spain and land in the Kyiv region in his 2020 declaration. Although he was exempted from punishment due to the expiration of the statute of limitations, the verdict stands as a criminal conviction in the first instance.",European Solidarity,Agrarian,1,0,Poltava,0,1,1972,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,47,2209,47,0,Center,0,0
Степан Кубів,1,Subject of various media investigations by investigative journalists regarding NBU refinancing during his tenure and discrepancies in asset declarations.,European Solidarity,Finance,1,0,Lviv,0,1,1962,1,"System, Business",1,Active,AI_Verified,1,1,0,0,0,2,1,57,3249,57,0,West,0,0
Олександр Юрченко,3,Charged by NABU and SAP in 2020 for soliciting a bribe related to waste management legislation; spent time in SIZO and paid bail; VAKS case is ongoing.,Servant of the People,Energy,0,1,Kyiv,1,1,1988,1,"Civil Society, Business",0,Active,AI_Verified,0,1,1,0,0,2,1,31,961,0,0,Center,0,1
Олександр Дубінський,3,"Dubinskyi is under criminal investigation for treason and document forgery, has been remanded to pre-trial detention (SIZO), and is subject to US sanctions for foreign election interference.",Servant of the People,Finance,0,1,Kyiv,1,1,1981,1,Media,0,Active,AI_Verified,0,0,0,1,0,1,0,38,1444,0,0,Center,0,1
Людмила Марченко,3,"In 2023, she was notified of suspicion by NABU and SAPO for taking a bribe to facilitate illegal border crossing via the Shlyakh system; her case was subsequently referred to the High Anti-Corruption Court (VAKS).",Servant of the People,Budget,0,1,Ternopil,0,0,1983,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,36,1296,0,0,West,0,0
Олександр Трухін,3,Convicted by the Higher Anti-Corruption Court (VAKS) in 2023 for attempting to bribe police officers following a high-profile car accident in 2021.,Servant of the People,Budget,0,1,Poltava,0,1,1986,1,Business,0,Terminated,AI_Verified,0,1,0,0,0,1,0,33,1089,0,0,Center,0,0
Сергій Кузьміних,3,"Detained by NABU in 2022 for receiving a 558,000 UAH bribe; the case was subsequently referred to the High Anti-Corruption Court (VAKS).",Servant of the People,Social,0,1,Zhytomyr,1,1,1983,0,Civil Society,0,Active,AI_Verified,0,0,1,0,0,1,0,36,1296,0,0,Center,0,0
Давид Арахамія,1,"Subject of multiple media investigations by outlets like Bihus.info and Schemes regarding undisclosed luxury car usage, meetings with oligarchs, and lobbying efforts, though no formal criminal conviction exists.",Servant of the People,Defense,0,0,Mykolaiv,1,1,1979,1,"Business, Civil Society",1,Active,AI_Verified,0,1,1,0,0,2,1,40,1600,0,0,South,0,0
Данило Гетманцев,1,"Subject of media investigations by outlets like Bihus.info regarding potential conflicts of interest concerning his legal business (Jurimex) and its ties to the lottery operator MSL, alongside allegations of undeclared property.",Servant of the People,Finance,0,0,Kyiv,1,1,1978,1,"Business, System",1,Active,AI_Verified,1,1,0,0,0,2,1,41,1681,0,0,Center,0,1
Ілля Кива,3,"Charged with high treason, illegal enrichment, and facing multiple criminal proceedings by the Prosecutor General's Office and VAKS prior to his death.",Opposition Platform — For Life,Law Enforcement,0,1,Poltava,1,1,1977,1,"System, Business",1,Deceased,AI_Verified,1,1,0,0,0,2,1,42,1764,0,0,Center,0,0
Мар'яна Безугла,0,"No formal corruption investigations by NABU/SAP or enrichment-related investigative journalism (e.g., Bihus.info) have been verified; her controversies are primarily political/professional.",Servant of the People,Defense,0,1,Kyiv,1,0,1988,0,System,0,Active,AI_Verified,1,0,0,0,0,1,0,31,961,0,0,Center,0,1
Євгенія Кравчук,0,"No significant criminal proceedings, VAKS cases, or NAZK corruption protocols recorded against the MP.",Servant of the People,Humanitarian,0,0,Ternopil,1,0,1985,0,Media,1,Active,AI_Verified,0,0,0,1,0,1,0,34,1156,0,0,West,0,0
Сергій Власенко,1,Subject of media investigations regarding the transparency of foreign legal fees and declaration discrepancies noted by NAZK.,Batkivshchyna,Legal Policy,1,0,Lviv,1,1,1967,1,"Business, System",1,Active,AI_Verified,1,1,0,0,0,2,1,52,2704,52,0,West,0,0
Маргарита Шол,3,"In early 2023, NABU and SAP declared her wanted and subsequently sent a case to the High Anti-Corruption Court (VAKS) regarding her failure to declare a rented apartment in Kyiv worth approximately 5 million UAH.",Servant of the People,Agrarian,0,0,Donetsk,0,0,1988,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,31,961,0,0,East,1,0
Павло Халімон,2,Investigated by NABU and SAP for illicit enrichment after the 'Pechersk mansion' scandal in 2023. NAZK formally concluded that he had signs of illegal enrichment totaling 10 million UAH and submitted the materials to the Prosecutor General.,Servant of the People,Agrarian,0,0,Chernihiv,1,1,1983,1,"System, Business",1,Active,AI_Verified,1,1,0,0,0,2,1,36,1296,0,0,North,0,0
Анна Колісник,2,"In 2022, NABU and SAP notified her of suspicion (pidozra) for failing to declare property worth 4.4 million UAH, later leading to a case in the High Anti-Corruption Court (VAKS).",Servant of the People,Finance,0,0,Kharkiv,0,0,1994,1,System,1,Active,AI_Verified,1,0,0,0,0,1,0,25,625,0,0,East,0,0
Юрій Камельчук,2,"In late 2022, NABU and SAP issued an official notice of suspicion (pidozra) to Kamelchuk for failing to declare a rented apartment in Kyiv in his 2020 annual declaration; he was subsequently tried in the High Anti-Corruption Court (VAKS).",Servant of the People,Energy,0,0,Lviv,1,1,1980,0,"Media, Business",0,Active,AI_Verified,0,1,0,1,0,2,1,39,1521,0,0,West,0,0
Тетяна Грищенко,0,"No documented high-level corruption cases, VAKS proceedings, or specific enrichment investigations by Bihus/Schemes identified.",Servant of the People,Agrarian,0,0,Zhytomyr,0,0,1979,1,System,0,Active,AI_Verified,1,0,0,0,0,1,0,40,1600,0,0,Center,0,0
Орест Саламаха,0,"No significant corruption investigations, NABU pidozras, or NAZK protocol violations have been documented in public or media databases.",Servant of the People,Budget,0,0,Lviv,1,1,1991,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,28,784,0,0,West,0,0
Валерій Колюх,1,"Media investigations by Chesno and Bihus.info highlighting his long-term associations with pro-Russian figures and fugitive MP Oleksandr Onyshchenko, as well as alleged involvement in lobbying interests.",Servant of the People,Humanitarian,0,0,Kyiv,0,1,1973,1,System,0,Active,AI_Verified,1,0,0,0,0,1,0,46,2116,0,0,Center,0,1
Володимир Тимофійчук,1,Reported by media and civic watchdogs for potential conflict of interest regarding the appointment of his brother as a parliamentary assistant.,Servant of the People,Agrarian,0,0,Ivano-Frankivsk,0,1,1986,1,"Media, Business",0,Active,AI_Verified,0,1,0,1,0,2,1,33,1089,0,0,West,0,0
Ірина Аллахвердієва,2,"In late 2022, the High Anti-Corruption Court (VAKS) ordered the Prosecutor General's Office to open a criminal case regarding potential illicit enrichment involving gifts totaling over 14.4 million UAH and luxury assets.",Servant of the People,Finance,0,0,Mykolaiv,1,0,1978,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,41,1681,0,0,South,0,0
Сергій Гривко,0,"No records of criminal proceedings, NABU investigations, or significant enrichment scandals were identified in public registers or media investigations such as Bihus.Info or Schemes.",Servant of the People,Social,0,0,Chernihiv,1,1,1985,1,"Business, Civil Society",1,Active,AI_Verified,0,1,1,0,0,2,1,34,1156,0,0,North,0,0
Жан Беленюк,0,"No evidence of NABU/SAP investigations, VAKS cases, or high-profile media-led corruption scandals involving personal enrichment.",Servant of the People,Humanitarian,0,0,Kyiv,1,1,1991,0,Outsider,1,Active,AI_Verified,0,0,0,0,0,1,0,28,784,0,0,Center,0,1
Андрій Богданець,0,"No documented cases of financial corruption, bribery, or illegal enrichment by NABU/VAKS. His 2019 legal controversy and suspended sentence were related to a physical assault (hooliganism), not corruption.",Servant of the People,Agrarian,0,0,Ternopil,0,1,1983,1,"Business, Military",0,Active,AI_Verified,0,1,0,0,1,2,1,36,1296,0,0,West,0,0
Максим Березін,0,"No significant corruption scandals, NABU/SAP investigations, or VAKS criminal proceedings have been documented against this MP.",Servant of the People,Defense,0,0,Poltava,1,1,1984,1,System,0,Active,AI_Verified,1,0,0,0,0,1,0,35,1225,0,0,Center,0,0
Сергій Бунін,1,"Public investigations by NGOs like CHESNO highlighted inconsistencies in asset declarations, specifically regarding undeclared residential property and real estate in the Kyiv region.",Servant of the People,Budget,0,0,Kyiv,1,1,1971,1,"Business, System",0,Active,AI_Verified,1,1,0,0,0,2,1,48,2304,0,0,Center,0,1
Ігор Васильковський,2,"NAZK identified significant inconsistencies in his asset declarations. Furthermore, his mandate was terminated in 2022 following a presidential decree revoking his Ukrainian citizenship due to possession of a foreign passport (Bulgaria).",Servant of the People,Transport,0,1,Odesa,1,1,1985,1,Business,0,Terminated,AI_Verified,0,1,0,0,0,1,0,34,1156,0,0,South,0,0
Олександр Божков,0,"No official criminal proceedings, NABU/SAP pidozras, or high-profile media investigations regarding corruption or illicit enrichment were identified for this MP.",Servant of the People,Humanitarian,0,0,Kyiv,1,1,1988,0,"Business, Media",1,Active,AI_Verified,0,1,0,1,0,2,1,31,961,0,0,Center,0,1
Вадим Галайчук,0,"No significant corruption scandals, NABU/VAKS criminal proceedings, or NAZK protocols identified in public records.",Servant of the People,Foreign,0,0,Kyiv,0,1,1971,1,"Business, Civil Society",1,Active,AI_Verified,0,1,1,0,0,2,1,48,2304,0,0,Center,0,1
Олександр Горобець,1,"Journalistic investigations (Chesno, Bihus.info) identified potential enrichment and luxury vehicle ownership (Mercedes G-class) inconsistent with declared income, alongside links to construction developers in Kyiv Oblast.",Servant of the People,Energy,0,0,Kyiv,0,1,1983,1,"Business, System",0,Active,AI_Verified,1,1,0,0,0,2,1,36,1296,0,0,Center,0,1
Олександр Пузанов,1,"Identified in media investigations regarding non-transparent asset reporting and historical links to the Lyovochkin political group, though no active VAKS criminal proceedings or NABU pidozra are finalized.",Opposition Platform — For Life,Legal Policy,0,1,Kyiv,1,1,1977,1,"System, Business",1,Active,AI_Verified,1,1,0,0,0,2,1,42,1764,0,0,Center,0,1
Олександр Завітневич,0,"No active criminal cases (VAKS), NABU/SAP charges, or high-profile media investigations regarding illicit enrichment or corruption were identified for this MP.",Servant of the People,Defense,0,0,Cherkasy,0,1,1973,1,"Business, Military",1,Active,AI_Verified,0,1,0,0,1,2,1,46,2116,0,0,Center,0,0
Олена Шуляк,1,"Widely criticized by investigative media and NGOs (e.g., Chesno, Bihus.info) for lobbying interests of the construction industry through Bill 5655, leading to significant public controversy regarding urban planning transparency.",Servant of the People,State Power,0,0,Kyiv,1,0,1976,1,"Business, Civil Society",1,Active,AI_Verified,0,1,1,0,0,2,1,43,1849,0,0,Center,0,1
Олександр Дануца,0,"No high-profile investigations by NABU, SAP, or major media outlets like Bihus.Info/Schemes regarding personal enrichment or unexplained assets were identified.",Servant of the People,Law Enforcement,0,0,Kropyvnytskyi,1,1,1980,1,"Media, Business, System",0,Active,AI_Verified,1,1,0,1,0,3,1,39,1521,0,0,Center,0,0
Валерій Зуб,0,"No evidence of criminal cases, NABU/SAP investigations, or major media-based corruption scandals found in public records.",Servant of the People,Social,0,0,Chernihiv,0,1,1970,0,System,0,Active,AI_Verified,1,0,0,0,0,1,0,49,2401,0,0,North,0,0
Олександр Кабанов,1,"While no criminal charges are present, media reports (e.g., Slidstvo.info) highlighted the purchase of luxury vehicles (Jaguar F-Pace and Land Rover) during his parliamentary tenure, leading to public scrutiny over enrichment.",Servant of the People,Humanitarian,0,0,Kyiv,1,1,1973,0,Media,1,Active,AI_Verified,0,0,0,1,0,1,0,46,2116,0,0,Center,0,1
Анна Коваленко,0,"No recorded criminal proceedings, VAKS cases, or significant corruption investigations by investigative journalists such as Bihus.info or Schemes.",Servant of the People,Defense,0,0,Kyiv,1,0,1991,0,"Civil Society, Media",1,Terminated,AI_Verified,0,0,1,1,0,2,1,28,784,0,0,Center,0,1
Олексій Жмеренецький,0,"No active criminal investigations, NABU suspicions, or significant corruption scandals have been officially recorded.",Servant of the People,Anti-Corruption,0,0,Khmelnytskyi,0,1,1986,1,"Civil Society, Business",0,Active,AI_Verified,0,1,1,0,0,2,1,33,1089,0,0,Other,0,0
Аліна Загоруйко,0,"No record of criminal proceedings, NABU pidozra, or investigative journalism (Bihus/Schemes) linking her to corruption scandals; she maintains a clean profile in the Chesno 'Integrity' database.",Servant of the People,State Power,0,0,Kyiv,0,0,1984,1,System,1,Active,AI_Verified,1,0,0,0,0,1,0,35,1225,0,0,Center,0,1
Юрій Кузбит,0,"No record of official criminal proceedings (VAKS), NABU/SAP pidozra, or high-profile media investigations regarding illicit enrichment or major corruption scandals exists for this MP.",Servant of the People,Budget,0,0,Kyiv,1,1,1977,1,"Business, System",0,Active,AI_Verified,1,1,0,0,0,2,1,42,1764,0,0,Center,0,1
Олександр Матусевич,0,"No high-profile criminal investigations (VAKS), NABU suspicion notices, or major wealth-based media investigations (Bihus/Schemes) specifically targeting the MP for corruption are documented in public registers.",Servant of the People,Agrarian,0,0,Ivano-Frankivsk,0,1,1978,0,System,0,Active,AI_Verified,1,0,0,0,0,1,0,41,1681,0,0,West,0,0
Александр Куницкий,2,"Subject of NAZK corruption protocols regarding conflict of interest and NABU investigations into lobbying for his electric vehicle business, AutoEnterprise, through his parliamentary mandate.",Servant of the People,Law Enforcement,0,0,Zaporizhzhia,1,1,1983,0,"Media, Business",0,Active,AI_Verified,0,1,0,1,0,2,1,36,1296,0,0,East,0,0
Юрій Мисягін,0,"No records of criminal convictions, NABU pidozras, or significant media investigations into illicit enrichment were identified in public databases as of late 2023.",Servant of the People,Defense,0,0,Dnipro,1,1,1974,1,"Business, Civil Society",0,Active,AI_Verified,0,1,1,0,0,2,1,45,2025,0,0,East,0,0
Пало Мельник,0,"There are no documented records of criminal proceedings, NABU investigations, or high-profile corruption scandals involving Pavlo Melnyk.",Servant of the People,Humanitarian,0,0,Zaporizhzhia,1,1,1984,1,"Business, Media",0,Active,AI_Verified,0,1,0,1,0,2,1,35,1225,0,0,East,0,0
Роман Мулик,1,"Reported in media investigations regarding undeclared property and real estate assets, specifically linked to business interests in Turkey.",Servant of the People,Agrarian,0,0,Ivano-Frankivsk,1,1,1973,1,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,46,2116,0,0,West,0,0
Ігор Мурдій,0,"No major criminal proceedings at the High Anti-Corruption Court (VAKS), NABU suspicions (pidozras), or high-profile media investigations regarding illicit enrichment have been documented for this MP.",Servant of the People,Transport,0,0,Kirovohrad,0,1,1982,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,37,1369,0,0,Center,0,0
Кирил Нестеренко,0,"No major criminal proceedings (VAKS), official corruption protocols (NAZK/NABU), or significant media investigations into illicit enrichment found.",Servant of the People,Eco,0,0,Sumy,1,1,1993,1,"Business, Civil Society",0,Active,AI_Verified,0,1,1,0,0,2,1,26,676,0,0,North,0,0
Микита Потураєв,0,"No records found of criminal proceedings (VAKS/NABU), official corruption suspicions, or major media investigations (Bihus/Schemes) regarding illegal enrichment or significant conflicts of interest.",Servant of the People,Humanitarian,0,0,Dnipro,1,1,1970,0,Media,1,Active,AI_Verified,0,0,0,1,0,1,0,49,2401,0,0,East,0,0
Михайло Радуцький,1,"Subject of media investigations by outlets like Bihus.info regarding potential conflicts of interest in the pharmaceutical and medical equipment markets, as well as ethical scandals involving parliamentary correspondence.",Servant of the People,Social,0,0,Kyiv,1,1,1968,0,Business,1,Active,AI_Verified,0,1,0,0,0,1,0,51,2601,0,0,Center,0,1
Ігор Герасименко,0,"No records of criminal proceedings, NABU investigations, VAKS cases, or significant investigative journalism reports regarding corruption were found for this MP.",Servant of the People,Defense,0,0,Zhytomyr,0,1,1984,0,Military,0,Active,AI_Verified,0,0,0,0,1,1,0,35,1225,0,0,Center,0,0
Вячеслав Медяник,1,"In 2019, he was involved in a high-profile media scandal involving photographed text messages ('sugar' case) where he appeared to be discussing influence over the Prosecutor General's Office with a business partner.",Servant of the People,Law Enforcement,0,0,Dnipro,1,1,1987,1,Business,0,Terminated,AI_Verified,0,1,0,0,0,1,0,32,1024,0,0,East,0,0
Богдан Торохтій,1,"Media investigations (Bihus.info) exposed luxury lifestyle, expensive car acquisitions, and overseas travel to Bulgaria during martial law, leading to his expulsion from the SN faction.",Servant of the People,Legal Policy,0,1,Kropyvnytskyi,1,1,1984,1,"System, Business",1,Active,AI_Verified,1,1,0,0,0,2,1,35,1225,0,0,Center,0,0
Анастасія Ляшенко,0,"No significant records of criminal investigations (VAKS), NABU suspicions, or major media corruption scandals found in public anti-corruption databases or Chesno profile.",Servant of the People,Humanitarian,0,0,Poltava,0,0,1986,0,Media,0,Active,AI_Verified,0,0,0,1,0,1,0,33,1089,0,0,Center,0,0
Анатолій Драбовський,0,"No major criminal corruption cases, VAKS proceedings, or specific media investigations into illicit enrichment or conflict of interest have been verified in public databases like Chesno or NABU/SAP registries.",Servant of the People,Budget,0,0,Vinnytsia,1,1,1958,1,Business,0,Active,AI_Verified,0,1,0,0,0,1,0,61,3721,0,0,Center,0,0
Анатолій Костюх,0,"No records of criminal investigations, VAKS cases, or significant media corruption scandals were identified for this MP.",Servant of the People,Humanitarian,0,0,Zakarpattia,1,1,1988,1,Media,1,Active,AI_Verified,0,0,0,1,0,1,0,31,961,0,0,West,0,0
